Name,2026,2027,2028,2029
AI/ML Engineer,337.2,388.7,440.2,491.7
Cloud Computing Specialist,219.5,240.7,261.9,283.1
Cybersecurity Specialist,204.6,223.1,241.6,260.1
Data Engineer,227.2,250.7,274.2,297.7
Data Scientist,243.5,270.1,296.7,323.3
DevOps Engineer,183.9,198.0,212.1,226.2
QA / Software Tester,101.8,100.2,98.6,97.0
Software Developer,120.2,122.8,125.3,127.8
